bik;name;coraccount;isactive;isbank;address
042511741;'БРАТСКИЙ АНКБ' ОАО;30101810000000000741;1;1;БРАТСК, УЛ.КОМСОМОЛЬСКАЯ,43
044579741;КБ 'РЭБ' (ЗАО);30101810000000000741;1;1;МОСКВА, ПОДСОСЕНСКИЙ ПЕР.,30 СТР.3
041708741;ФАКБ 'ИНВЕСТТОРГБАНК' (ОАО) 'ПОКРОВСКИЙ';30101810000000000741;1;1;ВЛАДИМИР, ОКТЯБРЬСКИЙ ПР.,25
044585742;АКБ 'ВЕК' (ЗАО);30101810000000000742;1;1;МОСКВА, УЛ.МАЛАЯ ГРУЗИНСКАЯ,10 СТР.1
047169742;ЗАО НГАБ 'ЕРМАК';30101810000000000742;1;1;НИЖНЕВАРТОВСК, УЛ.МИРА,68
047501742;КУ ЗАО КБ 'УРАЛЛИГА';30101810000000000742;1;1;ЧЕЛЯБИНСК, УЛ.СВОБОДЫ,83
044442745;ФИЛИАЛ 'КОЛЫМА' 'АТБ' (ОАО);30101810000000000745;1;1;МАГАДАН, УЛ.ПРОЛЕТАРСКАЯ,17
041203746;ФИЛИАЛ ЗАО 'РСКБ' В Г.АСТРАХАНЬ;30101810000000000746;1;1;АСТРАХАНЬ, УЛ.В.БАРСОВОЙ,13'А'
048209748;ООО КБ 'КРЕДО-ФИНАНС';30101810000000000748;1;1;МАХАЧКАЛА, УЛ.АБУБАКАРОВА,115
044525748;КУ ЗАО'МЕЖДУНАРОДНЫЙ ПРОМЫШЛЕННЫЙ БАНК'ГК-АСВ;30101810000000000748;1;1;МОСКВА, ВЕРХНИЙ ТАГАНСКИЙ ТУПИК,4
040173749;ООО КБ 'ТАЛЬМЕНКА-БАНК';30101810000000000749;1;1;БАРНАУЛ, ПР.ЛЕНИНА,156-А
044599749;ЗАО 'НОВЫЙ ПРОМЫШЛЕННЫЙ БАНК';30101810000000000749;1;1;МОСКВА, ПОКРОВСКИЙ Б-Р,6/20 СТР.2
042854751;ОАО КБ 'ТОРЖОКУНИВЕРСАЛБАНК';30101810000000000751;1;1;ТОРЖОК, ПЛ.АНАНЬИНА,3
048602752;ПЕТРОЗАВОДСКИЙ ФИЛИАЛ ОАО 'БАЛТИЙСКИЙ БАНК';30101810000000000752;1;1;ПЕТРОЗАВОДСК, УЛ.КИРОВА,25
040702752;ФИЛИАЛ 'СТАВРОПОЛЬСКИЙ' ОАО 'АЛЬФА-БАНК';30101810000000000752;1;1;СТАВРОПОЛЬ, УЛ.ЛЕНИНА,299
044030755;ОАО БАНК 'АЛЕКСАНДРОВСКИЙ';30101810000000000755;1;1;САНКТ-ПЕТЕРБУРГ, ЗАГОРОДНЫЙ ПР.,46,ЛИТ.Б-2
046614755;СМОЛЕНСКИЙ ФИЛИАЛ АПБ 'СОЛИДАРНОСТЬ';30101810000000000755;1;1;СМОЛЕНСК, УЛ.ЛЕНИНА,13А
043304756;КИРОВСКИЙ ФИЛИАЛ АБ 'РОССИЯ';30101810000000000756;1;1;КИРОВ, УЛ.СВОБОДЫ,91
043207757;ФИЛИАЛ N 11 АКБ МОСОБЛБАНК ОАО;30101810000000000757;1;1;КЕМЕРОВО, УЛ.ВЕСЕННЯЯ,24
041403759;ФИЛИАЛ В Г.БЕЛГОРОД ОАО 'МИНБ';30101810000000000759;1;1;БЕЛГОРОД, СВЯТО-ТРОИЦКИЙ Б-Р,28
048952760;САРАНСКИЙ ФИЛИАЛ ОАО 'АК БАРС' БАНК;30101810000000000760;1;1;САРАНСК, УЛ.СОВЕТСКАЯ,50-1
041012764;АМУРСКИЙ ФИЛИАЛ ООО 'КРОНА-БАНК';30101810000000000764;1;1;БЛАГОВЕЩЕНСК, УЛ.КАЛИНИНА,4,ПОМ.IX
040702765;СТАВРОПОЛЬСКИЙ ФИЛИАЛ ОАО АКБ 'СВЯЗЬ-БАНК';30101810000000000765;1;1;СТАВРОПОЛЬ, УЛ.50 ЛЕТ ВЛКСМ,8/3
045805766;ФИЛИАЛ ОАО БАНК ВТБ В Г. ПСКОВЕ;30101810000000000766;1;1;ПСКОВ, ИНТЕРНАЦИОНАЛЬНЫЙ ПЕР.,1-А
042520769;ФСКБ ПРИМОРЬЯ 'ПРИМСОЦБАНК' В Г.ИРКУТСКЕ;30101810000000000769;1;1;ИРКУТСК, УЛ.ИОСИФА УТКИНА,24
042908770;ФИЛИАЛ АКБ 'ФОРА-БАНК' (ЗАО) В Г.КАЛУГА;30101810000000000770;1;1;КАЛУГА, УЛ.ВОРОНИНА,4
043601771;ФАКБ 'ИНВЕСТТОРГБАНК' (ОАО) 'САМАРСКИЙ';30101810000000000771;1;1;САМАРА, УЛ.АРЦЫБУШЕВСКАЯ,42
041117772;АРХАНГЕЛЬСКИЙ РФ ОАО 'РОССЕЛЬХОЗБАНК';30101810000000000772;1;1;АРХАНГЕЛЬСК, УЛ.КАРЛА ЛИБКНЕХТА,34
048602746;ОАО БАНК 'ОНЕГО';30101810100000000746;1;1;ПЕТРОЗАВОДСК, ПР.К.МАРКСА,1
040813774;ХАБАРОВСКИЙ ФИЛИАЛ ООО 'ВНЕШПРОМБАНК';30101810000000000774;1;1;ХАБАРОВСК, УЛ.ШЕРОНОВА,67
044106776;ВОЛХОВСКИЙ ФИЛИАЛ ОАО 'БАЛТИЙСКИЙ БАНК';30101810000000000776;1;1;ВОЛХОВ, УЛ.ДЗЕРЖИНСКОГО,7
047177776;КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ ОАО КБ 'СИБКОНТАКТ';30101810000000000776;1;1;НЯГАНЬ, 2 МИКР-ОН,32
044109777;Ф-Л 'ВЫБОРГСКИЙ' ОАО 'БАЛТИНВЕСТБАНК';30101810000000000777;1;1;ВЫБОРГ, УЛ.МИРА,8
045209777;ФИЛИАЛ 'ОМСКИЙ' ОАО 'ОТП БАНК';30101810000000000777;1;1;ОМСК, УЛ.ОРДЖОНИКИДЗЕ,3А
